City,AccentCity,ProvinceName,Latitude,Longitude,ProvinceID
gqaka,Gqaka,Eastern Cape,-31.553917,28.210587,5
gqaqala,Gqaqala,Eastern Cape,-31.275246,28.422504,5
gqiba,Gqiba,Eastern Cape,-32.293342,28.686302,5
gqobonco,Gqobonco,Eastern Cape,-31.623649,28.255605,5
gqogqora,Gqogqora,Eastern Cape,-31.466667,28.533333,5
gqola,Gqola,Eastern Cape,-33.175137,27.52234,5
gqoloma,Gqoloma,Eastern Cape,-30.881152,28.845627,5
gqora,Gqora,Eastern Cape,-33.116667,27.05,5
gqubeni,Gqubeni,Eastern Cape,-31.886576,29.055966,5
gqubonco,Gqubonco,Eastern Cape,-31.616963,28.193974,5
gqukangqa,Gqukangqa,Eastern Cape,-31.019779,28.604282,5
gqukungqa,Gqukungqa,Eastern Cape,-31.019779,28.604282,5
gqukunqa,Gqukunqa,Eastern Cape,-31.019779,28.604282,5
gqunce,Gqunce,Eastern Cape,-32.295741,28.379101,5
gqunge,Gqunge,Eastern Cape,-32.450818,28.53111,5
gqunge trading store,Gqunge Trading Store,Eastern Cape,-32.466667,28.55,5
gqunqe,Gqunqe,Eastern Cape,-32.45,28.45,5
gqutyini,Gqutyini,Eastern Cape,-31.626616,27.881495,5
gqwesa,Gqwesa,Eastern Cape,-30.8943,28.742831,5
gqweta,Gqweta,Mpumalanga,-24.909926,31.039323,7
graaff-reinet,Graaff-Reinet,Eastern Cape,-32.25,24.55,5
graaf reinet,Graaf Reinet,Eastern Cape,-32.25,24.55,5
graafwater,Graafwater,Western Cape,-32.154656,18.603187,11
grabouw,Grabouw,Western Cape,-34.151519,19.015091,11
grahamstad,Grahamstad,Eastern Cape,-33.304216,26.53276,5
grahamstown,Grahamstown,Eastern Cape,-33.304216,26.53276,5
graley,Graley,Gauteng,-25.766667,28.85,6
grantham park,Grantham Park,KwaZulu Natal,-28.765959,31.899037,2
grantion,Grantion,North West,-27.057882,23.430365,10
grantleigh,Grantleigh,KwaZulu Natal,-28.85,29.633333,2
grantleigh,Grantleigh,North West,-25.857579,25.695491,10
grasbult,Grasbult,Northern Cape,-29.64894,22.229218,8
graskop,Graskop,Mpumalanga,-24.931442,30.841908,7
grasmere,Grasmere,Gauteng,-26.427497,27.86023,6
graspan,Graspan,Northern Cape,-30.106538,22.485489,8
grasrug,Grasrug,Northern Cape,-27.613558,23.887684,8
grassdale,Grassdale,Eastern Cape,-31.398824,26.510452,5
grasslands,Grasslands,Free State,-29.155451,26.288537,3
grasslands,Grasslands,Eastern Cape,-31.327672,26.306253,5
grassmoor,Grassmoor,Northern Cape,-29.92664,22.191315,8
grassridge,Grassridge,Eastern Cape,-31.785588,25.452898,5
grassvallei,Grassvallei,Limpopo,-24.679431,29.333148,9
grass valley,Grass Valley,Limpopo,-24.679431,29.333148,9
grassville,Grassville,Free State,-29.155451,26.288537,3
grassy park,Grassy Park,Western Cape,-34.047195,18.498626,11
gravelotte,Gravelotte,Limpopo,-23.953075,30.618951,9
grayfield,Grayfield,North West,-26.9,23.616667,10
great brak river,Great Brak River,Western Cape,-34.043679,22.225741,11
greenfields,Greenfields,Eastern Cape,-33.033298,27.862158,5
greenfontein,Greenfontein,Eastern Cape,-31.416667,25.9,5
greenhaven,Greenhaven,Western Cape,-34.040869,22.209714,11
greenhill,Greenhill,KwaZulu Natal,-29.827099,30.306303,2
green island,Green Island,Northern Cape,-28.616667,16.483333,8
greenlands,Greenlands,Eastern Cape,-33.083333,26.766667,5
green point,Green Point,Western Cape,-33.910012,18.403859,11
green valley,Green Valley,Mpumalanga,-24.598522,31.021159,7
greenview,Greenview,Gauteng,-25.731389,28.397778,6
greenwich,Greenwich,North West,-26.170523,23.110501,10
greenwood park,Greenwood Park,KwaZulu Natal,-29.783333,31.016667,2
gregory,Gregory,Limpopo,-22.644641,28.946264,9
grey hill,Grey Hill,Northern Cape,-28.133333,23.983333,8
greylingstad,Greylingstad,Mpumalanga,-26.744627,28.744426,7
greys,Greys,Free State,-28.616667,28.816667,3
greystone,Greystone,Eastern Cape,-31.899608,26.04517,5
greystorie,Greystorie,KwaZulu Natal,-29.071943,29.798419,2
greyton,Greyton,Western Cape,-34.050482,19.608844,11
greytown,Greytown,KwaZulu Natal,-29.064155,30.592786,2
greyville,Greyville,KwaZulu Natal,-29.833333,31,2
griebdale,Griebdale,Eastern Cape,-31.483973,28.608894,5
griekwastad,Griekwastad,Northern Cape,-28.851407,23.252483,8
griquatown,Griquatown,Northern Cape,-28.851407,23.252483,8
groblerbrug,Groblerbrug,Limpopo,-22.999394,27.945833,9
groblersbrug,Groblersbrug,Limpopo,-22.999394,27.945833,9
groblersdal,Groblersdal,Mpumalanga,-25.168434,29.394123,7
groblershoop,Groblershoop,Northern Cape,-28.895309,21.983782,8
groendal,Groendal,Northern Cape,-29.404751,22.417589,8
groendal,Groendal,Western Cape,-33.892644,19.100525,11
groen draai,Groen Draai,Free State,-28.433253,28.587358,3
groenedal,Groenedal,Eastern Cape,-31.666667,27.366667,5
groenfontein,Groenfontein,Free State,-30.072403,26.331926,3
groenfontein,Groenfontein,Eastern Cape,-31.639395,26.133002,5
groenfontein,Groenfontein,Western Cape,-33.108493,19.347758,11
groenkloof,Groenkloof,KwaZulu Natal,-27.416667,30.283333,2
groenkloof,Groenkloof,Eastern Cape,-31.780887,25.509056,5
groenpoort,Groenpoort,Free State,-30.416233,26.689412,3
groenpunt,Groenpunt,Gauteng,-26.826341,28.038443,6
groenpunt,Groenpunt,Western Cape,-33.910012,18.403859,11
groenvlakte,Groenvlakte,Free State,-30.028035,26.109107,3
groenvlei,Groenvlei,KwaZulu Natal,-27.459055,30.23027,2
groenvlei,Groenvlei,Eastern Cape,-31.021026,26.403782,5
groenvlei,Groenvlei,Limpopo,-24.266667,27.483333,9
groesbeek,Groesbeek,Limpopo,-23.866667,28.433333,9
grootberg,Grootberg,Northern Cape,-30.283333,17.733333,8
groot-brakrivier,Groot-Brakrivier,Western Cape,-34.043679,22.225741,11
grootdam,Grootdam,Free State,-29.380768,26.920356,3
grootdam,Grootdam,Eastern Cape,-31.482609,26.20689,5
grootderm,Grootderm,Northern Cape,-28.528239,16.61608,8
groot drakenstein,Groot Drakenstein,Mpumalanga,-26.05,29.683333,7
grootdrink,Grootdrink,Northern Cape,-26.494937,22.278767,8
groot-elandsvlei,Groot-Elandsvlei,Gauteng,-26.139916,27.6703,6
grootfontein,Grootfontein,Free State,-29.63352,26.296903,3
grootfontein,Grootfontein,Western Cape,-33,18.2,11
grootgeluk,Grootgeluk,Free State,-29.449312,25.98163,3
grootgewaagd,Grootgewaagd,Mpumalanga,-26.661048,29.859672,7
groot highlands,Groot Highlands,Free State,-29.85,26.55,3
groothoek,Groothoek,Free State,-29.283333,26.866667,3
groothoek,Groothoek,Limpopo,-23.287147,29.317469,9
groot-jongensfontein,Groot-Jongensfontein,Western Cape,-34.42562,21.33995,11
grootjongensfonteinstrand,Grootjongensfonteinstrand,Western Cape,-34.42562,21.33995,11
grootkloof,Grootkloof,KwaZulu Natal,-27.416667,30.283333,2
groot-marico,Groot-Marico,North West,-25.597005,26.417238,10
groot matjiesfontein,Groot Matjiesfontein,Western Cape,-30.516667,18.533333,11
groot mier,Groot Mier,Northern Cape,-26.74213,20.33376,8
grootmis,Grootmis,Northern Cape,-29.651125,17.084218,8
grootmist,Grootmist,Northern Cape,-29.651125,17.084218,8
grootpan,Grootpan,Mpumalanga,-25.917957,29.928743,7
grootpan,Grootpan,Limpopo,-22.765199,28.821927,9
grootrivierdrif,Grootrivierdrif,Eastern Cape,-33.416667,24.666667,5
grootrivier,Grootrivier,Western Cape,-33.383333,19.5,11
groot-samenkomst,Groot-Samenkomst,Eastern Cape,-32.181022,25.275928,5
grootschuur,Grootschuur,Eastern Cape,-31.743034,26.395126,5
